dataset,model,fname,ACC,iou,iouA,iouB,dice,DSC,model_
Hepatic Artery Branch,cycleGAN+MT2F-CLR,1_41_31488_34560_real_B_a.png,0.412139893,0.244228193,0.136594877,0.35186151,0.206069946,0.240358072,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,1_41_31488_34560_real_B_b.png,0.953689575,0.513682983,0.073848032,0.953517934,0.476844788,0.137539074,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,1_41_31488_34560_real_B_c.png,0.40914917,0.221502332,0.054823277,0.388181387,0.204574585,0.103947795,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,1_41_31488_34560_real_B_d.png,0.808135986,0.544870872,0.298678119,0.791063625,0.404067993,0.459972513,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,1_41_32000_37632_real_B_a.png,0.598922729,0.411405052,0.314155251,0.508654853,0.299461365,0.478109798,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,1_41_32000_37632_real_B_b.png,0.76574707,0.499367772,0.253198424,0.74553712,0.382873535,0.404083534,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,1_41_32000_37632_real_B_c.png,0.712234497,0.552499056,0.568592016,0.536406096,0.356117249,0.724971198,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,1_41_32000_37632_real_B_d.png,0.814880371,0.479739503,0.150895857,0.808583149,0.407440186,0.262223303,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,1_41_32000_54016_real_B_a.png,0.779434204,0.614512448,0.518182727,0.710842168,0.389717102,0.682635519,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,1_41_32000_54016_real_B_b.png,0.703659058,0.541170588,0.513794312,0.568546864,0.351829529,0.678816545,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,1_41_32000_54016_real_B_c.png,0.883377075,0.482848277,0.083573141,0.882123413,0.441688538,0.154254731,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,1_41_32000_54016_real_B_d.png,0.905776978,0.527051117,0.149917401,0.904184834,0.452888489,0.260744643,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,1_41_33024_18688_real_B_a.png,0.682144165,0.504309403,0.58552697,0.423091836,0.341072083,0.738589732,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,1_41_33024_18688_real_B_b.png,0.738342285,0.583369863,0.555636175,0.611103552,0.369171143,0.714352345,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,1_41_33024_18688_real_B_c.png,0.67024231,0.502974224,0.525918614,0.480029835,0.335121155,0.689314107,2
