dataset,model,fname,ACC,iou,iouA,iouB,dice,DSC,model_
Portal Vein Branch,cycleGAN+MT2F-UNET,1_41_34048_9472_real_B_b.png,0.779632568,0.636703905,0.60877692,0.66463089,0.389816284,0.75681956,3
Portal Vein Branch,cycleGAN+MT2F-UNET,1_41_34048_9472_real_B_c.png,0.908065796,0.575949412,0.246686672,0.905212152,0.454032898,0.395747668,3
Portal Vein Branch,cycleGAN+MT2F-UNET,1_41_34048_9472_real_B_d.png,0.720840454,0.440685227,0.178565014,0.702805439,0.360420227,0.303021067,3
Portal Vein Branch,HE2F,13_39_33536_27648_real_B_a.png,0.870895386,0.744116297,0.66069137,0.827541224,0.435447693,0.795682307,4
Portal Vein Branch,HE2F,13_39_33536_27648_real_B_b.png,0.854324341,0.741812471,0.773472535,0.710152408,0.42716217,0.872268975,4
Portal Vein Branch,HE2F,13_39_33536_27648_real_B_c.png,0.918273926,0.575514091,0.234857143,0.916171039,0.459136963,0.380379454,4
Portal Vein Branch,HE2F,13_39_33536_27648_real_B_d.png,0.894760132,0.501321904,0.109259977,0.893383831,0.447380066,0.196996158,4
Portal Vein Branch,HE2F,13_39_34560_34816_real_B_a.png,0.794448853,0.645548068,0.714579316,0.576516819,0.397224426,0.833533112,4
Portal Vein Branch,HE2F,13_39_34560_34816_real_B_b.png,0.968841553,0.539673749,0.110627178,0.968720321,0.484420776,0.199215686,4
Portal Vein Branch,HE2F,13_39_34560_34816_real_B_c.png,0.918075562,0.829893135,0.773545911,0.886240359,0.459037781,0.872315632,4
Portal Vein Branch,HE2F,13_39_34560_34816_real_B_d.png,0.713150024,0.542438932,0.469134757,0.615743107,0.356575012,0.638654493,4
Portal Vein Branch,HE2F,13_39_36608_82944_real_B_a.png,0.945373535,0.816493676,0.69539692,0.937590433,0.472686768,0.82033524,4
Portal Vein Branch,HE2F,13_39_36608_82944_real_B_b.png,0.976760864,0.539087319,0.101474926,0.976699712,0.488380432,0.184252812,4
Portal Vein Branch,HE2F,13_39_36608_82944_real_B_c.png,0.931610107,0.800094873,0.919967144,0.680222603,0.465805054,0.958315508,4
Portal Vein Branch,HE2F,13_39_36608_82944_real_B_d.png,0.870346069,0.730104409,0.625748767,0.834460052,0.435173035,0.769797621,4
Portal Vein Branch,HE2F,1_41_30976_47872_real_B_a.png,0.816055298,0.658895689,0.557110842,0.760680537,0.408027649,0.715569922,4
Portal Vein Branch,HE2F,1_41_30976_47872_real_B_b.png,0.962265015,0.547770601,0.133496847,0.962044356,0.481132507,0.235548686,4
Portal Vein Branch,HE2F,1_41_30976_47872_real_B_c.png,0.948974609,0.683731879,0.420450607,0.947013152,0.474487305,0.591996096,4
Portal Vein Branch,HE2F,1_41_30976_47872_real_B_d.png,0.979293823,0.623602318,0.26806904,0.979135596,0.489646912,0.422798809,4
Portal Vein Branch,HE2F,1_41_31488_34048_real_B_a.png,0.888931274,0.601143451,0.319465221,0.882821681,0.444465637,0.484234394,4
Portal Vein Branch,HE2F,1_41_31488_34048_real_B_b.png,0.844009399,0.677384959,0.546953246,0.807816671,0.4220047,0.707136105,4
Portal Vein Branch,HE2F,1_41_31488_34048_real_B_c.png,0.742172241,0.588868817,0.566899062,0.610838573,0.371086121,0.723593594,4
Portal Vein Branch,HE2F,1_41_31488_34048_real_B_d.png,0.895721436,0.695448402,0.507743283,0.883153521,0.447860718,0.673514237,4
Portal Vein Branch,HE2F,1_41_34048_8960_real_B_a.png,0.793518066,0.640393245,0.719311346,0.561475144,0.396759033,0.836743558,4
Portal Vein Branch,HE2F,1_41_34048_8960_real_B_b.png,0.983581543,0.505788693,0.028003613,0.983573773,0.491790771,0.054481547,4
Portal Vein Branch,HE2F,1_41_34048_8960_real_B_c.png,0.707763672,0.453649576,0.680336488,0.226962664,0.353881836,0.809762203,4
Portal Vein Branch,HE2F,1_41_34048_8960_real_B_d.png,0.928222656,0.839426241,0.77403084,0.904821642,0.464111328,0.872623883,4
Portal Vein Branch,HE2F,1_41_34048_9472_real_B_a.png,0.633010864,0.455009071,0.388730748,0.521287395,0.316505432,0.559836021,4
Portal Vein Branch,HE2F,1_41_34048_9472_real_B_b.png,0.781494141,0.636251924,0.679333587,0.593170261,0.39074707,0.809051391,4
Portal Vein Branch,HE2F,1_41_34048_9472_real_B_c.png,0.802597046,0.478332799,0.161894273,0.794771325,0.401298523,0.278672986,4
Portal Vein Branch,HE2F,1_41_34048_9472_real_B_d.png,0.604721069,0.433254464,0.424013341,0.442495588,0.302360535,0.595518776,4
